id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
55	capacity	-0.2711	0.5535	3	222	782	36	2024.0556
56	carbon emission	-0.7926	0.2656	1	78	214	14	2024.2857
57	cardiovascular disease	1.0196	-0.1207	2	100	356	14	2024.0714
58	care	0.6709	-0.0524	2	240	1370	64	2024
59	case study	-0.8782	0.1378	1	162	530	25	2024.16
60	centrality	0.673	-0.0213	2	163	572	23	2024.1739
61	challenge	-0.6479	0.1013	1	416	5622	246	2024.0732
62	change	-0.3269	-0.1539	1	306	1414	56	2024.1429
63	chatgpt	-0.1927	-0.2025	1	84	599	30	2024.2667
64	child	0.4794	-0.3916	2	158	739	30	2024.0333
65	chinese academy	0.9297	0.3637	2	108	265	10	2024.1
66	circular economy	-1.2201	0.2311	1	94	574	27	2024
67	citation	0.5815	-0.3242	2	413	5051	254	2024.0945
68	citation count	0.5894	-0.1604	2	176	504	35	2024.0286
69	citespace	0.9367	0.1248	2	382	3463	150	2024.0733
70	citespace software	1.0332	0.3295	2	172	510	20	2024.1
71	city	-0.7404	0.4488	1	110	446	20	2024.15
72	climate	-0.7719	0.0606	1	127	535	33	2024.0909
73	climate change	-0.4973	0.2473	1	245	1455	79	2024.0253
74	clinical application	1.0259	0.191	2	98	221	10	2024.1
75	clinical practice	1.0278	-0.1257	2	149	417	18	2024.1111
76	clinical trial	0.6203	-0.4538	2	160	808	33	2024
77	clinician	0.7281	-0.4321	2	110	228	10	2024
78	cnki	0.602	0.4523	3	123	428	16	2024
79	co citation	0.7465	-0.0625	2	201	628	33	2024.0303
80	cognitive impairment	1.1728	-0.4742	2	54	395	20	2024.3
81	collection	-0.1341	-0.0714	5	221	553	26	2024.0769
82	colour	-0.8145	-1.252	4	56	1468	13	2024.0769
83	combination	0.3517	0.2096	3	184	598	25	2024.04
84	communication	-0.5307	-0.1092	1	184	759	33	2024.1818
85	company	-1.171	-0.0698	1	149	846	25	2024.08
86	complexity	-0.926	0.3223	1	210	739	32	2024.0938
87	complication	1.1442	-0.2112	2	145	557	27	2024.037
88	comprehensive review	-0.4385	0.3383	1	235	833	44	2024.0455
89	comprehensive search	0.7878	-0.1015	2	114	258	10	2024.1
90	computer science	-0.4158	0.0491	1	78	187	13	2024.1538
91	concept	-0.8999	-0.0249	1	309	1721	77	2024.1558
92	conceptual structure	-0.162	-0.1897	1	79	159	12	2024.25
93	consideration	-0.7506	0.185	1	216	659	31	2024.0968
94	construction	-0.6237	0.3753	1	207	963	53	2024.2264
95	construction industry	-1.0218	0.1521	1	93	376	17	2024.1176
96	construction project	-1.0654	0.2247	1	56	248	11	2024.4545
97	consumer behavior	-0.9974	-0.1483	1	69	191	10	2024
98	contaminant	0.3623	0.4865	3	106	367	18	2024
99	content	-0.3891	0.3322	3	237	613	33	2024.1515
100	content analysis	-1.0465	-0.1352	1	252	1276	63	2024.0635
101	context	-0.6452	-0.1147	1	383	3538	152	2024.0724
102	cooperation	0.6434	0.3801	2	247	943	38	2024.0526
103	correlation	0.5731	-0.1873	2	246	943	37	2024.027
104	cost	-0.2523	0.3093	3	205	598	34	2024.1471
105	cost effectiveness	0.0319	0.3311	3	105	190	12	2024.0833
106	countries region	1.2058	0.0536	2	182	712	29	2024
107	covid	0.053	-0.086	2	300	2154	90	2024.0333
108	crc	1.3371	0.083	2	52	291	13	2024
109	creation	-0.8659	-0.0436	1	191	857	35	2024
110	critical review	-0.8479	0.4584	1	111	298	14	2024
111	critical role	-0.4981	0.1322	1	141	327	13	2024
112	cultural heritage	-0.5218	-0.122	1	83	344	20	2024.05
113	culture	-0.824	-0.1289	1	127	298	21	2024.0952
114	current research hotspot	0.8248	0.1733	2	140	323	14	2024.1429
115	current research status	0.9496	0.1736	2	92	228	11	2024.0909
116	december	0.9351	-0.1586	2	216	679	32	2024.0938
117	decision	-0.7334	0.1141	1	246	1009	51	2024.0588
118	decision making	-0.6703	-0.0566	1	247	926	40	2024.075
119	deep learning	0.0408	0.3911	3	183	1092	50	2024.22
120	definition	-0.6781	-0.2533	1	118	279	12	2024
121	demand	-0.394	0.1893	1	196	502	28	2024.0357
122	depression	0.8795	-0.2597	2	114	740	30	2024
123	design methodology approach	-0.9675	-0.3674	1	206	730	29	2024
124	detection	-0.132	0.3471	3	230	983	51	2024.098
125	development trend	0.7822	0.2267	2	243	835	37	2024.1892
126	diagnosis	0.975	0.044	2	203	1149	45	2024.0889
127	difference	0.0892	-0.359	4	166	432	21	2024
128	digital literacy	-0.2927	-0.4418	4	73	255	13	2024
129	digital technology	-0.5132	-0.2708	4	136	488	27	2024.2593
130	digital transformation	-1.0889	-0.0513	1	125	520	19	2024.0526
131	digital twin	-1.2279	0.521	1	69	322	13	2024.5385
132	disability	0.0296	-0.6827	4	75	374	18	2024.0556
133	disease	1.0529	0.0653	2	323	4020	166	2024.0422
134	diversity	-0.4251	-0.7329	4	212	1310	36	2024.1111
135	drinking water	0.5329	0.3732	3	52	246	11	2024
136	drug	0.9617	0.1119	2	135	502	21	2024
137	dynamic	-0.5767	-0.118	1	320	1554	75	2024.1067
138	economic growth	-0.9501	-0.2091	1	115	333	17	2024
139	ecosystem service	-0.963	0.3537	1	130	680	28	2024
140	educator	-0.7516	-0.3406	1	141	402	22	2024.2273
141	efficacy	0.5406	0.0502	2	229	711	33	2024.0303
142	efficiency	-0.6035	0.2859	1	311	2102	112	2024.1161
143	emotion	-0.2343	-0.4226	1	89	198	11	2024.1818
144	empirical research	-1.1447	-0.4143	1	103	345	12	2024.0833
145	employee	-1.2217	-0.3854	1	105	935	32	2024
146	end	-0.4442	0.5265	3	105	346	16	2024.125
147	energy	-0.4145	0.2621	1	250	1260	67	2024
148	energy efficiency	-0.6189	0.476	1	87	244	13	2024
149	energy poverty	-0.3899	-0.331	5	41	218	10	2024
150	engagement	-1.1427	-0.2906	1	207	1493	41	2024.0976
151	engineering education	-0.6905	-0.5498	5	29	222	17	2024
152	entrepreneur	-1.1815	-0.3381	1	107	414	17	2024
153	entrepreneurship	-1.0887	-0.3489	1	147	1210	65	2024.0154
154	environment	-0.5678	0.3107	1	351	2089	106	2024.1132
155	environmental impact	-0.7443	0.3813	1	153	430	23	2024.087
156	environmental sustainability	-0.5486	0.4498	1	128	316	16	2024.125
157	era	-0.6219	-0.2485	1	210	711	26	2024.2308
158	esg	-0.9528	-0.1632	1	43	272	10	2024
159	ethic	-0.5308	-0.6333	1	78	373	23	2024
160	europe	-0.0056	-0.3754	4	216	659	24	2024.125
161	example	0.2172	0.1107	5	113	234	10	2024
162	excel	1.072	-0.227	2	162	450	19	2024.0526
163	exercise	0.7962	-0.3742	2	110	512	20	2024
164	exercise intervention	1.2114	-0.5301	2	32	296	10	2024
165	exosome	1.4959	0.1392	2	55	312	14	2024.4286
166	experience	-0.8343	-0.3362	1	213	864	40	2024.1
167	extent	-0.5054	0.3336	3	170	472	18	2024.1667
168	fenton	0.5558	0.7519	3	32	272	12	2024
169	ferroptosis	1.1379	0.3207	2	45	216	10	2024
170	figure	0.6107	0.3296	2	170	390	18	2024.1111
171	findings highlight	-0.842	0.1953	1	145	352	18	2024.2222
172	firm	-1.204	-0.2392	1	151	897	36	2024.0556
173	first bibliometric analysis	1.1753	-0.3541	2	94	245	11	2024.0909
174	focal point	0.6727	0.0266	2	224	621	31	2024.0968
175	food	-0.1042	0.4595	1	200	907	49	2024.1224
176	food industry	-0.0294	0.336	1	62	245	14	2024.2143
177	food security	-0.9211	0.2461	5	123	479	20	2024.1
178	framework	-0.9334	-0.1528	1	345	3136	153	2024.0915
179	france	1.2582	-0.2874	2	92	320	16	2024.0625
180	frequency	0.7078	0.0794	2	295	1466	58	2024.069
181	frontier	0.8889	0.2598	2	219	1082	48	2024.0208
182	function	0.1754	0.3758	2	229	1192	48	2024.0417
183	future investigation	0.3916	-0.1866	2	150	303	18	2024.2222
184	future perspective	-0.1063	0.4829	3	122	256	13	2024.3077
185	future research agenda	-1.091	-0.2018	1	114	254	16	2024.0625
186	future research trend	1.1024	0.0034	2	142	384	15	2024.1333
187	gap	-0.5409	-0.2254	1	409	3576	173	2024.0751
188	gdm	1.3735	0.0824	2	37	240	10	2024
189	gender	0.0375	-0.4445	4	122	388	19	2024.0526
190	genetic	0.9635	-0.3553	2	81	284	18	2024
191	geographical distribution	-0.121	0.1139	3	106	215	12	2024
192	germany	0.7126	-0.1558	2	189	569	27	2024
193	global landscape	0.5399	-0.5256	2	104	203	10	2024
194	global research	0.3086	0.0105	2	163	378	19	2024.1579
195	global research trend	0.8272	0.0176	2	198	558	32	2024.0938
196	global trend	0.6865	-0.0666	2	181	547	30	2024.1333
197	goal	-0.5741	0.2709	1	231	901	39	2024.0513
198	google scholar	0.0679	0.3022	3	107	263	17	2024.2353
199	governance	-0.549	0.2137	1	176	729	39	2024.0256
200	government	-0.4004	0.0376	5	108	241	11	2024.0909
201	green finance	-0.9167	-0.1607	1	57	196	13	2024
202	gut microbiota	1.0869	0.2074	2	95	603	31	2024
203	h index	0.5385	-0.4497	4	166	811	43	2024.0233
204	half	0.6414	-0.2307	2	109	237	12	2024
205	harvard university	1.2528	0.1336	2	143	411	14	2024.0714
206	health	0.203	0.2199	3	340	2260	93	2024.0538
207	healthcare	-0.3797	-0.3916	1	139	362	18	2024.0556
208	heavy metal	0.2379	0.6388	3	82	254	14	2024.1429
209	high income country	0.8732	-0.5191	2	79	316	14	2024
210	higher education	-0.7041	-0.2844	1	144	746	42	2024.0952
211	highest number	1.0497	-0.0451	2	313	1996	82	2024.0488
212	home	0.5486	0.5103	3	119	450	13	2024
213	hot spot	1.2414	-0.0009	2	128	353	13	2024.2308
214	hot topic	0.7842	0.2686	2	212	619	27	2024.037
215	hotspot	1.0135	0.135	2	335	2629	124	2024.0161
216	human	0.3227	0.3825	3	88	252	10	2024.4
217	human health	0.2969	0.5688	3	118	280	14	2024.0714
218	iii	0.1054	0.3376	3	100	202	14	2024.2143
219	impact factor	0.7089	-0.5462	2	155	702	37	2024.027
220	implementation	-0.6523	0.0064	1	296	1532	64	2024.0312
221	inclusion	-0.6918	-0.6619	4	188	887	25	2024.08
222	inclusion criterium	0.4775	-0.0548	2	171	388	17	2024.1176
223	indicator	-0.4813	0.4899	3	236	1156	49	2024.1837
224	indonesia	-0.1933	0.2295	3	86	363	30	2024.3667
225	industry	-0.8821	0.2666	1	323	2311	106	2024.1321
226	inflammation	1.2137	0.0188	2	164	829	40	2024.1
227	influential article	0.7725	0.1981	2	101	192	10	2024.2
228	infrastructure	-0.5734	0.3131	1	235	1081	52	2024.0577
229	initiative	-0.4269	-0.0822	1	212	837	34	2024.0294
230	innovation	-0.885	-0.045	1	347	3256	162	2024.0432
231	instance	-0.7309	0.3636	1	96	210	11	2024
232	institution	0.5872	-0.0097	2	464	7691	344	2024.0756
233	integration	-0.6715	-0.1718	1	356	3445	139	2024.0647
234	intellectual structure	-0.903	-0.2454	1	123	371	24	2024.0833
235	intelligence	-0.0865	0.0591	1	355	3497	146	2024.1438
236	international cooperation	0.3382	-0.2154	2	149	307	15	2024
237	international journal	0.6372	0.0007	2	152	353	20	2024.1
238	internet	-0.8041	0.1433	1	209	732	28	2024.1786
239	intersection	-0.8788	-0.1452	1	144	405	19	2024
240	investment	-0.7543	-0.2918	1	151	576	33	2024.2727
241	iot	-1.225	0.2538	1	142	1078	40	2024.175
242	item	-0.3838	0.2316	3	112	393	22	2024.1818
243	january	0.984	-0.1251	2	263	1233	56	2024.0536
244	japan	0.6264	0.2468	2	163	420	19	2024.1053
245	journal	0.5795	-0.1569	2	471	11680	610	2024.0787
246	june	0.2615	-0.4469	4	107	244	12	2024.0833
247	key finding	-0.4346	0.2673	1	170	400	21	2024
248	key theme	-0.3198	-0.0289	1	171	398	18	2024.1111
249	keyword analysis	0.6138	-0.0499	2	255	806	39	2024.0256
250	knowledge	-0.62	-0.2055	1	387	3258	145	2024.0621
251	knowledge mapping	0.8669	-0.0283	2	110	361	15	2024
252	knowledge structure	0.4025	-0.062	2	201	577	25	2024.04
253	largest number	0.6021	0.154	2	133	334	17	2024.2353
254	latin america	0.2541	-0.4588	5	52	165	10	2024.1
255	leadership	-1.0169	-0.2231	1	119	585	29	2024.069
256	learning	-0.3979	-0.2934	4	214	825	51	2024.1373
257	limitation	-0.4414	0.3281	1	250	995	44	2024
258	link	-0.1076	0.3752	3	187	625	31	2024.3871
259	list	0.191	-0.2807	4	130	377	20	2024.1
260	literature review	-0.8054	0.1263	1	251	1024	62	2024.0968
261	literature search	0.6444	-0.0649	2	174	467	23	2024.0435
262	lung cancer	1.1684	-0.0931	2	75	506	22	2024
263	machine	-0.2562	0.4805	3	151	468	22	2024.2273
264	machine learning	-0.1823	0.4231	3	249	1186	55	2024.1818
265	macrophage	1.3048	0.2088	2	42	352	16	2024.25
266	major theme	-0.8988	-0.2298	1	97	213	10	2024
267	majority	0.5733	-0.2777	2	199	587	30	2024.0667
268	malaysia	-0.6672	0.3769	5	92	322	16	2024.5
269	male involvement	0.1805	-0.3225	5	10	154	11	2024
270	man	0.1185	-0.6019	4	59	263	13	2024
271	manager	-1.0674	-0.4291	1	111	503	19	2024.0526
272	manuscript	0.1268	-0.1835	5	101	362	20	2024.05
273	marketing	-1.0909	-0.033	1	95	513	29	2024
274	may	0.5942	-0.0813	2	120	233	11	2024
275	measure	-0.1501	-0.0022	5	246	1143	57	2024.0526
276	medicine	0.8435	-0.134	2	287	1677	84	2024.0476
277	medium	-0.6155	0.3721	3	116	319	15	2024.4
278	membrane distillation	0.1754	0.6242	3	34	208	12	2024
279	mena country	0.2875	-0.587	5	18	396	11	2024
280	mental health	0.4584	-0.0998	2	155	479	20	2024
281	meta analysis	0.127	-0.3285	2	229	1013	47	2024
282	metabolism	1.0281	0.2887	2	154	521	20	2024
283	metaheuristic algorithm	0.4915	0.6126	5	19	116	11	2024
284	metaverse	-0.8952	0.3059	1	62	423	25	2024
285	microalgae	-0.0506	0.7119	3	29	129	11	2024
286	microplastic	0.1607	0.5986	3	57	248	19	2024
287	microsoft excel	0.9002	-0.2634	2	133	365	17	2024.1176
288	minority teacher	-0.808	-1.2689	4	45	1452	12	2024
289	model	-0.4462	0.0198	1	396	4393	215	2024.1116
290	motivation	-0.9036	-0.2177	1	118	247	16	2024.0625
291	mri	1.4698	0.1944	2	48	398	15	2024
292	multiple sclerosis	0.7526	-0.1684	2	57	514	13	2024
293	nanoparticle	0.7128	0.3878	3	85	515	29	2024.1034
294	necessity	-0.3401	-0.0757	4	233	688	25	2024.12
295	need	-0.3422	-0.113	1	426	4190	178	2024.0562
296	neural network	-0.6429	0.5113	1	133	465	22	2024.0455
297	neurodegenerative disease	1.0918	0.2496	2	70	346	11	2024.7273
298	north america	0.2396	-0.6223	4	157	453	16	2024.1875
299	november	0.461	0.0512	2	140	301	12	2024
300	number	0.5472	0.0346	2	443	5915	278	2024.1115
301	numerous study	0.4139	-0.4822	4	151	405	13	2024.0769
302	obesity	1.3848	0.0039	2	94	838	30	2024
303	october	0.6984	0.2721	2	101	260	12	2024
304	older adult	0.095	-0.5319	1	110	505	23	2024.3043
305	oncology	1.162	-0.3798	2	94	546	21	2024
306	operation	-0.563	0.4365	1	169	603	31	2024.0645
307	opportunity	-0.7185	0.2128	1	315	1665	76	2024.1184
308	optimization	-0.3077	0.3079	5	165	528	31	2024.0645
309	oral microbiota	1.6656	-0.111	2	22	300	10	2024
310	orexin	1.1645	0.4069	2	31	360	10	2024
311	original article	0.8527	-0.2705	2	171	548	28	2024
312	originality value	-0.9538	-0.3805	1	202	704	28	2024
313	osteoporosis	1.3548	0.1838	2	77	480	19	2024.1053
314	oxidative stress	0.8118	0.3353	2	135	381	19	2024.0526
315	pain	1.0231	-0.4879	2	72	463	29	2024.2759
316	pandemic	-0.5048	0.0517	1	197	753	30	2024.0667
317	participation	-0.432	-0.4151	4	134	519	25	2024.12
318	pathogenesis	1.1734	-0.1375	2	112	365	16	2024
319	pathway	0.4529	0.2041	2	250	897	39	2024.0513
320	patient	0.9931	-0.2968	2	271	1716	73	2024.0274
321	peer	-0.4106	-0.5458	4	191	484	21	2024.0476
322	performance	-0.51	-0.0259	1	397	3415	171	2024.0994
323	performance analysis	-0.1666	-0.2705	1	171	587	24	2024.0417
324	person	0.0177	-0.1336	1	241	861	37	2024.1081
325	phenomenon	-0.429	0.0124	1	140	324	18	2024.0556
326	physical activity	0.3844	0.0877	3	91	874	25	2024
327	physical education	-0.0227	-0.7409	4	67	309	15	2024
328	physical literacy	0.3213	0.3329	3	27	495	11	2024
329	plant	0.1147	0.3883	3	152	431	26	2024.0769
330	plastic	-0.0487	0.1501	3	139	336	20	2024.1
331	platform	-0.2851	0.1685	3	281	1180	49	2024.1224
332	policy	-0.5284	-0.2087	4	315	2224	96	2024.0938
333	policy maker	-0.8003	-0.5951	4	160	551	19	2024
334	policymaker	-0.5439	-0.1757	1	305	1284	60	2024.0833
335	pollutant	0.3449	0.7161	3	135	566	33	2024.0909
336	population	0.4381	-0.5977	2	253	1412	49	2024.1224
337	post	-0.1075	0.1449	1	134	316	15	2024.0667
338	practical application	-0.562	0.4948	3	202	559	29	2024.069
339	practical implication	-1.0203	-0.1677	1	192	605	26	2024.0769
340	practice	-0.8219	-0.1079	1	371	3934	173	2024.0809
341	practitioner	-0.9094	-0.1333	1	274	1248	59	2024.1186
342	preferred reporting item	-0.6548	-0.3368	1	143	339	16	2024
343	prevalence	0.4822	-0.0452	2	198	502	25	2024.04
344	prevention	0.3795	-0.0145	2	202	535	25	2024.08
345	prisma	-0.7644	-0.3214	1	147	349	17	2024.0588
346	product	-0.5085	0.4302	1	237	1454	72	2024.125
347	production	-0.3228	0.1459	1	326	2275	133	2024.0752
348	productive author	0.775	0.0072	2	166	433	20	2024.1
349	productive institution	0.7975	0.1113	2	148	429	19	2024
350	productivity	-0.1493	-0.2516	4	283	1323	64	2024.0938
351	prognosis	1.3568	-0.0905	2	100	280	12	2024.0833
352	program	0.2248	-0.5851	4	225	1066	52	2024.0577
353	prolific author	1.0206	0.0603	2	212	792	36	2024.0278
354	proportion	0.6818	-0.4287	2	95	293	14	2024.0714
355	psychology	-0.517	-0.244	1	141	329	23	2024.1739
356	public health	0.0123	0.0285	3	106	274	14	2024.2143
357	publication number	0.1244	-0.4013	4	97	220	13	2024
358	publication output	0.5069	0.1897	2	172	346	17	2024.1176
359	publication volume	0.914	-0.0254	2	182	797	31	2024.0968
360	publication year	0.9929	-0.1594	2	176	488	26	2024.0385
361	publications	1.0778	-0.1347	2	159	468	24	2024
362	pubmed	0.7195	0.0975	2	193	576	26	2024
363	qualitative analysis	-0.8612	0.1441	1	103	245	13	2024.1538
364	quantitative analysis	-0.0258	0.0513	4	209	566	22	2024.0909
365	question	-0.4592	-0.18	1	206	627	36	2024.0556
366	r software	0.8769	0.0007	2	130	292	13	2024.1538
367	r studio	0.596	-0.4891	5	84	192	12	2024.0833
368	rapid growth	-0.4596	-0.2073	1	131	362	10	2024
369	rcts	0.6956	-0.5629	2	57	522	18	2024
370	recent decade	-0.9718	0.1612	1	104	218	12	2024.1667
371	recommendation	-0.4667	-0.0613	1	258	783	40	2024.175
372	recovery	0.407	0.4322	3	165	660	28	2024.0357
373	reference	0.634	0.0842	2	329	2004	94	2024.0745
374	regulation	0.1616	0.3054	2	203	511	29	2024.1379
375	rehabilitation	1.2095	-0.2215	2	118	595	20	2024.2
376	related research	1.048	-0.0227	2	103	245	11	2024.0909
377	remote sensing	-0.4841	0.7905	3	104	667	22	2024.0455
378	research activity	0.3134	-0.2446	2	126	280	19	2024
379	research agenda	-1.0407	-0.1897	1	141	431	29	2024.0345
380	research frontier	0.8468	0.2283	2	158	511	23	2024
381	research gap	-0.8486	-0.2522	1	270	1309	55	2024.0545
382	research hotspot	0.9492	0.2458	2	349	3248	134	2024.0672
383	research institution	0.6013	0.3247	2	227	821	36	2024.0556
384	research limitations implication	-1.0684	-0.2844	1	110	289	10	2024
385	research paper	-0.252	0.0153	1	235	703	30	2024.1333
386	research productivity	0.4259	-0.5824	4	104	339	17	2024.0588
387	research publication	-0.1291	0.1643	3	158	374	19	2024.0526
388	research status	0.8301	0.2993	2	187	728	30	2024.1333
389	resilience	-1.0139	0.2717	1	166	615	27	2024.3704
390	respect	-0.6746	0.1145	1	99	268	13	2024.2308
391	retraction	0.1905	-0.5128	3	48	235	16	2024
392	review article	0.6187	0.3134	2	111	255	14	2024.0714
393	riparian zone vegetation	-0.5977	0.92	3	29	572	11	2024
394	river	-0.6047	0.9137	3	51	534	12	2024
395	robotic	0.2485	-0.2531	2	76	290	15	2024
396	robotic surgery	0.6866	-0.5661	5	48	312	15	2024
397	rstudio	0.3877	-0.039	2	104	198	10	2024
398	safety	-0.2731	-0.0539	1	283	1827	82	2024.0732
399	saudi arabia	0.4413	0.3693	3	114	192	11	2024.0909
400	schizophrenia	1.2345	0.1881	2	44	246	11	2024
401	school	-0.1532	-0.6955	4	151	627	24	2024.0417
402	science core collection	0.9602	0.0269	2	354	2468	106	2024.0377
403	science core collection database	0.9588	0.0459	2	254	955	42	2024.0238
404	science mapping	0.2015	-0.2348	2	160	518	22	2024
405	scientific article	-0.1645	-0.406	5	123	285	13	2024.3077
406	scientific research	0.0903	0.1874	5	177	421	19	2024.1053
407	scimago graphica	1.2534	-0.0311	2	103	263	11	2024
408	screening	0.3717	-0.2738	2	170	518	23	2024.1304
409	sdg	-0.7327	0.4949	5	168	1586	54	2024.037
410	sdgs	-1.0224	0.1921	5	161	1271	46	2024.0435
411	sector	-0.8926	0.1292	1	241	1194	65	2024.0615
412	senior author	0.5131	-0.772	4	38	253	10	2024
413	sensor	0.0664	0.6361	3	122	693	24	2024.0417
414	service	-0.5635	0.2467	1	217	974	47	2024.0213
415	shift	-0.318	-0.3884	1	249	922	40	2024.025
416	significance	-0.533	-0.0772	1	305	1279	50	2024.06
417	significant attention	0.5267	0.3317	2	113	218	13	2024.0769
418	significant impact	0.1603	-0.2262	5	119	217	10	2024.1
419	slr	-1.3096	-0.087	1	114	341	16	2024.0625
420	smart city	-0.7482	0.5486	1	49	329	17	2024.2941
421	social medium	-1.0919	-0.265	1	115	721	19	2024
422	soil	0.1037	0.4247	3	118	440	23	2024
423	solution	-0.5498	0.392	1	320	1858	89	2024.1236
424	south africa	-0.3096	0.197	1	77	258	15	2024.4667
425	space	-0.8651	0.2001	1	122	427	26	2024.0769
426	status	0.4388	0.1189	2	323	1651	72	2024.0694
427	stroke	1.404	-0.1107	2	70	428	16	2024
428	student	-0.3823	-0.6968	4	187	1885	69	2024.1014
429	success	-0.6223	-0.4758	4	225	876	29	2024.1034
430	supply chain	-1.2154	0.1335	1	149	1188	47	2024.1702
431	supply chain management	-1.2052	0.065	1	111	576	26	2024
432	support	-0.3755	-0.4301	1	254	1304	45	2024.1778
433	surgery	0.6864	-0.4352	2	194	1723	88	2024.0568
434	sustainability	-1.0088	0.1706	1	297	2657	142	2024.0493
435	sustainable development	-0.8234	0.2249	1	238	1305	58	2024.1552
436	sustainable development goal	-0.9258	0.2328	5	208	1071	49	2024.0612
437	synthesis	0.0042	-0.1393	3	264	1063	44	2024.1591
438	system	-0.2806	0.0475	1	441	5650	256	2024.0469
439	systematic analysis	-0.5372	0.4529	3	136	380	21	2024.0952
440	systematic literature review	-1.0481	-0.0701	1	269	1555	77	2024.0909
441	systematic review	-0.3384	-0.3483	1	390	3299	149	2024.0268
442	target	0.0193	0.397	5	187	661	27	2024.1481
443	teacher	-0.7572	-1.2031	4	76	2071	25	2024.04
444	teaching	-0.2159	-0.5657	4	107	316	28	2024.1786
445	technological advancement	-0.8223	0.0401	1	116	282	14	2024.0714
446	temperature	-0.3543	0.6361	3	111	286	17	2024.0588
447	thematic analysis	-0.6678	-0.3581	1	89	197	13	2024
448	thematic evolution	-0.8489	-0.1857	1	123	250	12	2024.0833
449	theory	-1.0726	-0.1506	1	247	1369	71	2024.0563
450	therapy	1.0117	-0.1574	2	253	1948	95	2024.0421
451	thing	-0.8807	0.2498	1	172	571	21	2024.1429
452	time period	0.6647	-0.1112	2	89	196	12	2024.25
453	top	0.137	-0.3865	4	236	756	29	2024.1034
454	top author	0.8538	-0.5698	5	83	246	14	2024.0714
455	total	0.6779	-0.0092	2	413	4339	196	2024.1173
456	total citation	0.4584	-0.4257	5	121	414	17	2024.0588
457	total number	0.7558	-0.1344	2	162	450	20	2024
